title,description,regular_cost_ex_gst,regular_cost_plus_gst,markdown_cost_ex_gst,markdown_cost_plus_gst,markdown_percent,stock_availability,product_page_url,primary_image_url,additional_image_urls,source_table_page,checked_at_utc,scrape_status
E-Marco Cement 2.2kg Bucket (Purple),Strongest hold and the easiest to work with for advanced style aquascapes,19.86,21.85,16.55,18.21,16.67,,https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket-purple/,https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.428905+00:00,ok
X4 REEFER BLUE,There are no modifications required to your light. The visor mounting pin simply push-fits into the small screw holes along the bottom of the light.,749.46,824.41,624.55,687.01,16.67,,https://daluawholesale.com.au/product/x4-reefer-blue/,https://daluawholesale.com.au/wp-content/uploads/2026/07/reefer_blue_x4_a12d8f28-faa7-46f2-bae7-ba850771d2fb.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.429147+00:00,ok
WIO Scapeglue (Black),"Powered by ColorFuse™ technology , ScapeGlue lets you perfectly blend rocks and wood of any shade , creating invisible joints and a flawless, cohesive appearance. Each kit includes everything you need: – 30 ml tube of ScapeGlue – Two precision pipets for clean application – A set of protective black gloves – Your choice of 100 ml ColorFuse in a full spectrum of natural tones",22.36,24.60,17.86,19.65,20.13,,https://daluawholesale.com.au/product/wio-scapeglue-black/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.429526+00:00,ok
WIO Scapeglue (Grey),"Powered by ColorFuse™ technology , ScapeGlue lets you perfectly blend rocks and wood of any shade , creating invisible joints and a flawless, cohesive appearance. Each kit includes everything you need: – 30 ml tube of ScapeGlue – Two precision pipets for clean application – A set of protective black gloves – Your choice of 100 ml ColorFuse in a full spectrum of natural tones",22.36,24.60,17.86,19.65,20.13,,https://daluawholesale.com.au/product/wio-scapeglue-grey/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.429905+00:00,ok
WIO Scapeglue (Pale),"Powered by ColorFuse™ technology , ScapeGlue lets you perfectly blend rocks and wood of any shade , creating invisible joints and a flawless, cohesive appearance. Each kit includes everything you need: – 30 ml tube of ScapeGlue – Two precision pipets for clean application – A set of protective black gloves – Your choice of 100 ml ColorFuse in a full spectrum of natural tones",22.36,24.60,17.86,19.65,20.13,,https://daluawholesale.com.au/product/wio-scapeglue-pale/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.430228+00:00,ok
WIO Scapeglue (Yellow),"Powered by ColorFuse™ technology , ScapeGlue lets you perfectly blend rocks and wood of any shade , creating invisible joints and a flawless, cohesive appearance. Each kit includes everything you need: – 30 ml tube of ScapeGlue – Two precision pipets for clean application – A set of protective black gloves – Your choice of 100 ml ColorFuse in a full spectrum of natural tones",22.36,24.60,17.86,19.65,20.13,,https://daluawholesale.com.au/product/wio-scapeglue-yellow/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.430551+00:00,ok
WIO Scapeglue (Red),"Powered by ColorFuse™ technology , ScapeGlue lets you perfectly blend rocks and wood of any shade , creating invisible joints and a flawless, cohesive appearance. Each kit includes everything you need: – 30 ml tube of ScapeGlue – Two precision pipets for clean application – A set of protective black gloves – Your choice of 100 ml ColorFuse in a full spectrum of natural tones",22.36,24.60,17.86,19.65,20.13,,https://daluawholesale.com.au/product/wio-scapeglue-red/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.430884+00:00,ok
MARCO ROCK PRICE MATCH,MARCO ROCK PRICE MATCH purchase any White Marco Rock and you can purchase the purple Marco rock for the exact same price. Offer only applies to purple base Marco Rock,1.00,1.10,0.99,1.09,1.00,,https://daluawholesale.com.au/product/marco-rock-price-match/,https://daluawholesale.com.au/wp-content/uploads/2026/05/MARCO.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.431101+00:00,ok
CO2 Bubble Counter,Includes CO2 Bubble Counter,11.84,13.02,8.88,9.77,25.00,,https://daluawholesale.com.au/product/co2-bubble-counter/,https://daluawholesale.com.au/wp-content/uploads/2026/05/Bubble-Counter.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.431233+00:00,ok
NOSOK Filter Sock No Sock Replacement Silencer Cup – VCA 2.75-inch,Fits on all standard 2.75″ filter sock holders,25.09,27.60,18.07,19.88,27.98,,https://daluawholesale.com.au/product/nosok-filter-sock-no-sock-replacement-silencer-cup-vca-2-75-inch/,https://daluawholesale.com.au/wp-content/uploads/2026/05/NOSOK.png,,https://daluawholesale.com.au/wp-json/wc/store/v1/products,2026-08-30T12:25:54.431497+00:00,ok
