classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.605,WRGB Slim LED 120cm,122.32,134.55,91.74,100.91,https://daluawholesale.com.au/product/wrgb-slim-led-120cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 90cm,94.08,103.49,70.56,77.62,https://daluawholesale.com.au/product/wrgb-slim-led-90cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 60cm,71.87,79.06,53.90,59.29,https://daluawholesale.com.au/product/wrgb-slim-led-60cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 45cm,65.11,71.62,48.83,53.71,https://daluawholesale.com.au/product/wrgb-slim-led-45cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.619,WRGB Slim LED 30cm,50.69,55.76,38.02,41.82,https://daluawholesale.com.au/product/wrgb-slim-led-30cm/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wrbg_led_DEVICE__1_.png,CHIHIROS WRGB 2 Slim LED,https://nanotanksaustralia.com.au/products/chihiros-wrgb-2-slim-led-screen-wrgb-ii-slim30-30cm-tank,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wrgb slim led,
missing,0.649,Drift Wood Small,6.73,7.40,5.38,5.92,https://daluawholesale.com.au/product/drift-wood-medium/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-drift-wood-shapes.png,Driftwood Catfish 7cm,https://nanotanksaustralia.com.au/products/driftwood-catfish-7cm,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,drift wood,
missing,0.806,Phat Pro Fertiliser 2.75L,71.40,78.54,53.55,58.91,https://daluawholesale.com.au/product/phat-pro-fertiliser-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-pro-2.75l.png,Phat Pro Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-pro-fertiliser-250ml-500ml-2-75l,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,phat pro fertiliser,
missing,0.806,Phat Pro Fertiliser 500ml,17.95,19.75,13.46,14.81,https://daluawholesale.com.au/product/phat-pro-fertiliser-500ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-pro-500ml.png,Phat Pro Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-pro-fertiliser-250ml-500ml-2-75l,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,phat pro fertiliser,
missing,0.806,Phat Pro Fertiliser 250ml,12.07,13.28,9.05,9.96,https://daluawholesale.com.au/product/phat-pro-fertiliser-250ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-pro-250ml.png,Phat Pro Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-pro-fertiliser-250ml-500ml-2-75l,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,phat pro fertiliser,
missing,0.610,WIO Black Venom Gravel 2kg,15.75,17.33,11.81,12.99,https://daluawholesale.com.au/product/wio-black-venom-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_bf43ab151bf546fa8da2891a4613c629mv2.webp,UP AQUA BLACK AQUARIUM GRAVEL 5KG,https://nanotanksaustralia.com.au/products/up-aqua-black-aquarium-gravel-5kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio venom gravel,
missing,0.600,WIO Sable Gravel 2kg,15.75,17.33,11.81,12.99,https://daluawholesale.com.au/product/wio-sable-gravel-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_171d2942d0154c2bb08be61e4098d2dbmv2.webp,Aquael Basalt Gravel 2-4mm 2kg,https://nanotanksaustralia.com.au/products/aquael-basalt-gravel-2-4mm-2kg,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,wio sable gravel,
