classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.514,X4 REEFER BLUE,749.46,824.41,624.55,687.01,https://daluawholesale.com.au/product/x4-reefer-blue/,https://daluawholesale.com.au/wp-content/uploads/2026/07/reefer_blue_x4_a12d8f28-faa7-46f2-bae7-ba850771d2fb.png,,,,,,marine_review,marine/reef range — strategic review,x4 reefer,
missing,0.436,NOSOK Filter Sock No Sock Replacement Silencer Cup – VCA 2.75-inch,25.09,27.60,18.07,19.88,https://daluawholesale.com.au/product/nosok-filter-sock-no-sock-replacement-silencer-cup-vca-2-75-inch/,https://daluawholesale.com.au/wp-content/uploads/2026/05/NOSOK.png,,,,,,marine_review,marine/reef range — strategic review,nosok filter sock no sock replacement silencer cup vca 2 75 inch,
missing,0.449,NOSOK Filter Sock No Sock Replacement Silencer Cup – VCA 4-inch,75.13,82.64,54.10,59.51,https://daluawholesale.com.au/product/nosok-filter-sock-no-sock-replacement-silencer-cup-vca/,https://daluawholesale.com.au/wp-content/uploads/2026/05/NOSOK.png,,,,,,marine_review,marine/reef range — strategic review,nosok filter sock no sock replacement silencer cup vca 4 inch,
missing,0.509,RMS Euro Brace upgrade kit,51.05,56.16,43.40,47.74,https://daluawholesale.com.au/product/rms-euro-brace-upgrade-kit/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Pxl_Euro_Brace.jpg,,,,,,marine_review,marine/reef range — strategic review,rms euro brace upgrade kit,
missing,0.491,CORAL ESSENTIALS GRO READY 2.75L,69.62,76.58,46.99,51.69,https://daluawholesale.com.au/product/coral-essentials-gro-ready-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-23_181552204.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials gro ready,
missing,0.508,CORAL ESSENTIALS AMINO READY 2.75L,69.62,76.58,46.99,51.69,https://daluawholesale.com.au/product/coral-essentials-amino-ready-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-23_181230009.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials amino ready,
missing,0.400,"GW 25,000 Wave Maker WIFI",311.20,342.32,264.52,290.97,https://daluawholesale.com.au/product/gw-25000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 25 000 wave maker wifi,
missing,0.400,"GW 15,000 Wave Maker WIFI",222.88,245.17,189.45,208.40,https://daluawholesale.com.au/product/gw-15000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 15 000 wave maker wifi,
missing,0.400,"GW 10,000 Wave Maker WIFI",211.53,232.68,179.80,197.78,https://daluawholesale.com.au/product/gw-10000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 10 000 wave maker wifi,
missing,0.407,"GW 6,000 Wave Maker WIFI",152.91,168.20,129.97,142.97,https://daluawholesale.com.au/product/gw-6000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 6 000 wave maker wifi,
