classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size,market_observations,market_median_aud,recommended_retail_aud,pricing_status,market_sources_json
missing,0.490,WIO Pale Ethereal River Kit,159.97,175.97,119.98,131.98,https://daluawholesale.com.au/product/wio-pale-ethereal-river-kit/,https://daluawholesale.com.au/wp-content/uploads/2025/10/pale-ethereal-river-kit.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio ethereal river kit,1,2,244.95,244.95,priced,"[{""retailer"":""DALUA AU"",""price"":249.95,""score"":1.0,""title"":""WIO - Pale Ethereal River Kit"",""url"":""https://dalua.com.au/products/wio-pale-ethereal-river-kit""},{""retailer"":""IW Aquariums"",""price"":239.95,""score"":1.0,""title"":""Wio - Pale Ethereal River Kit"",""url"":""https://iwaquariums.com.au/products/wio-pale-ethereal-river-kit""}]"
missing,0.479,WIO Black Ryuoh Stone MEGA KIT 21 kg,153.31,168.64,114.98,126.48,https://daluawholesale.com.au/product/wioblack-ryuoh-stone-mega-kit-21-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorock_blackryuoh_dry_png.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio ryuoh stone mega kit,1,1,,,insufficient_market_data,"[{""retailer"":""DALUA AU"",""price"":12.95,""score"":0.735,""title"":""WIO - Black Ryuoh Stone Per Kg"",""url"":""https://dalua.com.au/products/wio-black-ryuoh-nano-stone-2kg""}]"
missing,0.500,WIO Paleo Nano Stone 1.5kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-paleo-nano-stone-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-Paleorock-NanoRock1.5kg4_d543e604-ef68-4c54-8712-031d1584ba8a.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio paleo nano stone,1,2,26.95,26.95,priced,"[{""retailer"":""Nature Pets"",""price"":26.95,""score"":0.822,""title"":""WIO - Dragon Nano Stone 1.5kg"",""url"":""https://naturepets.com.au/products/wio-dragon-nano-stone-1-5kg""},{""retailer"":""Nature Aquariums"",""price"":26.95,""score"":0.822,""title"":""WIO - Dragon Nano Stone 1.5kg"",""url"":""https://www.natureaquariums.com.au/products/wio-dragon-nano-stone-1-5kg""}]"
missing,0.480,WIO Silver Shadow Nano Stone 2kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-silver-shadow-nano-stone-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-SilverShadow-NanoRock4_e5bd72c7-89b8-4198-aecb-e2e3d7865906.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio silver shadow nano stone,1,3,24.95,24.95,priced,"[{""retailer"":""DALUA AU"",""price"":26.95,""score"":0.837,""title"":""WIO - Silver Shadow Nano Rock 2kg"",""url"":""https://dalua.com.au/products/wio-silver-shadow-nano-rock-2kg""},{""retailer"":""Nature Pets"",""price"":24.95,""score"":0.837,""title"":""WIO - Silver Shadow - Nano Rock 2kg"",""url"":""https://naturepets.com.au/products/wio-silver-shadow-nano-rock-2kg""},{""retailer"":""Nature Aquariums"",""price"":24.95,""score"":0.837,""title"":""WIO - Silver Shadow - Nano Rock 2kg"",""url"":""https://www.natureaquariums.com.au/products/wio-silver-shadow-nano-rock-2kg""}]"
missing,0.464,WIO Grey Fossil Nano Stone 2kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-greyfossilnanostone2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-GreyFossilWood-NanoRock2kg5_6f37bbfb-4029-4786-9ac5-714d8ad747af.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio fossil nano stone,1,3,24.95,24.95,priced,"[{""retailer"":""DALUA AU"",""price"":29.95,""score"":0.773,""title"":""WIO - Grey Fossil Wood Stone Nano Bag 2kg"",""url"":""https://dalua.com.au/products/wio-grey-fossil-wood-stone""},{""retailer"":""Nature Pets"",""price"":24.95,""score"":0.756,""title"":""WIO - Grey Fossil Wood - Nano Rock 2kg"",""url"":""https://naturepets.com.au/products/wio-grey-fossil-wood-nano-rock-2kg""},{""retailer"":""Nature Aquariums"",""price"":24.95,""score"":0.756,""title"":""WIO - Grey Fossil Wood - Nano Rock 2kg"",""url"":""https://www.natureaquariums.com.au/products/wio-grey-fossil-wood-nano-rock-2kg""}]"
missing,0.508,WIO Wild Red Nano Stone 1.5 kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-wild-red-nano-stone-1-5-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wioWildRedLavaNanoRock4_5091cda3-4934-43b1-a091-c976d148518e.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio wild nano stone,1,0,,,insufficient_market_data,[]
missing,0.522,WIO Darwin Black Nano Stone 1.5 kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-darwin-black-nano-stone-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-DarwinBlackLavaStone4_cabf5d17-6b00-438f-8b90-86bd0eccdee4.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio darwin nano stone,1,0,,,insufficient_market_data,[]
missing,0.508,WIO Titan Nano Rocks 2kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-titan-nano-rocks-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorocks_titan_dry.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio titan nano rocks,1,3,24.95,24.95,priced,"[{""retailer"":""DALUA AU"",""price"":29.95,""score"":0.725,""title"":""WIO - Titan Stone Nano 2kg"",""url"":""https://dalua.com.au/products/wio-titan-nano-rock-2kg""},{""retailer"":""Nature Pets"",""price"":24.95,""score"":0.885,""title"":""WIO - Titan - Nano Rock 2kg"",""url"":""https://naturepets.com.au/products/wio-titan-nano-rock-2kg""},{""retailer"":""Nature Aquariums"",""price"":24.95,""score"":0.885,""title"":""WIO - Titan - Nano Rock 2kg"",""url"":""https://www.natureaquariums.com.au/products/wio-titan-nano-rock-2kg""}]"
missing,0.492,WIO Black Ryuoh Nano Stone 2kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/black-ryuoh-nano-stone-2-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_nanorock_blackryuoh_dry_png.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio ryuoh nano stone,1,3,26.95,26.95,priced,"[{""retailer"":""DALUA AU"",""price"":26.95,""score"":0.804,""title"":""WIO - Black Ryuoh Stone Nano Bag 2kg"",""url"":""https://dalua.com.au/products/wio-black-ryuoh-nano-stone-2kg""},{""retailer"":""Nature Pets"",""price"":26.95,""score"":0.872,""title"":""WIO - Ryuoh Nano Stone 2kg"",""url"":""https://naturepets.com.au/products/wio-ryuoh-nano-stone-2kg""},{""retailer"":""Nature Aquariums"",""price"":26.95,""score"":1.0,""title"":""WIO - Black Ryuoh Nano Stone 2kg"",""url"":""https://www.natureaquariums.com.au/products/wio-black-ryuoh-nano-stone-2kg""}]"
missing,0.491,WIO Amber Dragon Riverbed 3kg,46.64,51.30,34.98,38.48,https://daluawholesale.com.au/product/wio-amber-dragon-riverbed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_479638883ff54deda08729ac398e3aaemv2.webp,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio amber dragon riverbed,1,1,,,insufficient_market_data,"[{""retailer"":""DALUA AU"",""price"":64.42,""score"":1.0,""title"":""WIO - Amber Dragon Riverbed 3kg"",""url"":""https://dalua.com.au/products/wio-amber-dragon-riverbed""}]"
