classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.436,E-Marco Cement 2.2kg Bucket (Purple),19.86,21.85,16.55,18.21,https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket-purple/,https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,e marco cement bucket,2
missing,0.514,X4 REEFER BLUE,749.46,824.41,624.55,687.01,https://daluawholesale.com.au/product/x4-reefer-blue/,https://daluawholesale.com.au/wp-content/uploads/2026/07/reefer_blue_x4_a12d8f28-faa7-46f2-bae7-ba850771d2fb.png,,,,,,marine_review,marine/reef range — strategic review,x4 reefer,
missing,0.545,WIO Scapeglue (Black),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-black/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.468,WIO Scapeglue (Grey),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-grey/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.474,WIO Scapeglue (Pale),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-pale/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.545,WIO Scapeglue (Yellow),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-yellow/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.486,WIO Scapeglue (Red),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-red/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.436,NOSOK Filter Sock No Sock Replacement Silencer Cup – VCA 2.75-inch,25.09,27.60,18.07,19.88,https://daluawholesale.com.au/product/nosok-filter-sock-no-sock-replacement-silencer-cup-vca-2-75-inch/,https://daluawholesale.com.au/wp-content/uploads/2026/05/NOSOK.png,,,,,,marine_review,marine/reef range — strategic review,nosok filter sock no sock replacement silencer cup vca 2 75 inch,
missing,0.449,NOSOK Filter Sock No Sock Replacement Silencer Cup – VCA 4-inch,75.13,82.64,54.10,59.51,https://daluawholesale.com.au/product/nosok-filter-sock-no-sock-replacement-silencer-cup-vca/,https://daluawholesale.com.au/wp-content/uploads/2026/05/NOSOK.png,,,,,,marine_review,marine/reef range — strategic review,nosok filter sock no sock replacement silencer cup vca 4 inch,
missing,0.509,RMS Euro Brace upgrade kit,51.05,56.16,43.40,47.74,https://daluawholesale.com.au/product/rms-euro-brace-upgrade-kit/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Pxl_Euro_Brace.jpg,,,,,,marine_review,marine/reef range — strategic review,rms euro brace upgrade kit,
missing,0.519,X4 Euro Brace upgrade kit,25.88,28.47,22.00,24.20,https://daluawholesale.com.au/product/x4-euro-brace-upgrade-kit/,https://daluawholesale.com.au/wp-content/uploads/2026/04/X4_Euro_Brace.jpg,,,,,,manual_review,special/preorder/high-value equipment item,x4 euro brace upgrade kit,
missing,0.491,CORAL ESSENTIALS GRO READY 2.75L,69.62,76.58,46.99,51.69,https://daluawholesale.com.au/product/coral-essentials-gro-ready-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-23_181552204.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials gro ready,
missing,0.508,CORAL ESSENTIALS AMINO READY 2.75L,69.62,76.58,46.99,51.69,https://daluawholesale.com.au/product/coral-essentials-amino-ready-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-23_181230009.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials amino ready,
missing,0.400,"GW 25,000 Wave Maker WIFI",311.20,342.32,264.52,290.97,https://daluawholesale.com.au/product/gw-25000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 25 000 wave maker wifi,
missing,0.400,"GW 15,000 Wave Maker WIFI",222.88,245.17,189.45,208.40,https://daluawholesale.com.au/product/gw-15000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 15 000 wave maker wifi,
missing,0.400,"GW 10,000 Wave Maker WIFI",211.53,232.68,179.80,197.78,https://daluawholesale.com.au/product/gw-10000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 10 000 wave maker wifi,
missing,0.407,"GW 6,000 Wave Maker WIFI",152.91,168.20,129.97,142.97,https://daluawholesale.com.au/product/gw-6000-wave-maker-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232028.png,,,,,,marine_review,marine/reef range — strategic review,gw 6 000 wave maker wifi,
missing,0.453,"GW 12,500 Return Pump WIFI",369.41,406.35,314.00,345.40,https://daluawholesale.com.au/product/gw-12500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,,,,,manual_review,special/preorder/high-value equipment item,gw 12 500 return pump wifi,
missing,0.440,"GW 8,500 Return Pump WIFI",320.00,352.00,272.00,299.20,https://daluawholesale.com.au/product/gw-8500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,,,,,manual_review,special/preorder/high-value equipment item,gw 8 500 return pump wifi,
missing,0.440,"GW 5,500 Return Pump WIFI",261.18,287.30,222.00,244.20,https://daluawholesale.com.au/product/gw-5500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,,,,,manual_review,special/preorder/high-value equipment item,gw 5 500 return pump wifi,
missing,0.462,"GW 3,500 Return Pump WIFI",204.70,225.17,174.00,191.40,https://daluawholesale.com.au/product/gw-3500-return-pump-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232233.png,,,,,,manual_review,special/preorder/high-value equipment item,gw 3 500 return pump wifi,
missing,0.417,GW – 30 Skimmer WIFI,1116.47,1228.12,949.00,1043.90,https://daluawholesale.com.au/product/gw-30-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,,,,,marine_review,marine/reef range — strategic review,gw 30 skimmer wifi,
missing,0.407,GW – 22 Skimmer WIFI,796.47,876.12,677.00,744.70,https://daluawholesale.com.au/product/gw-22-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,,,,,marine_review,marine/reef range — strategic review,gw 22 skimmer wifi,
missing,0.407,GW – 17 Skimmer WIFI,692.95,762.25,589.00,647.90,https://daluawholesale.com.au/product/gw-17-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,,,,,marine_review,marine/reef range — strategic review,gw 17 skimmer wifi,
missing,0.412,GW – 12 Skimmer WIFI,480.65,528.72,408.55,449.41,https://daluawholesale.com.au/product/gw-12-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,,,,,marine_review,marine/reef range — strategic review,gw 12 skimmer wifi,
missing,0.414,GW – 7 Skimmer WIFI,416.47,458.12,354.00,389.40,https://daluawholesale.com.au/product/gw-7-skimmer-wifi-pre-order/,https://daluawholesale.com.au/wp-content/uploads/2026/02/Screenshot-2026-02-02-232536.png,,,,,,marine_review,marine/reef range — strategic review,gw 7 skimmer wifi,
missing,0.596,CORAL ESSENTIALS CVE 250ml,22.61,24.87,20.35,22.39,https://daluawholesale.com.au/product/coral-essentials-cve-250ml/,https://daluawholesale.com.au/wp-content/uploads/2025/12/cve-250ml.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials cve,
missing,0.490,WIO Pale Ethereal River Kit,159.97,175.97,119.98,131.98,https://daluawholesale.com.au/product/wio-pale-ethereal-river-kit/,https://daluawholesale.com.au/wp-content/uploads/2025/10/pale-ethereal-river-kit.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,wio ethereal river kit,1
