classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note
exact,1.000,Nano Siphon Water Change Kit,25.61,28.17,19.70,21.67,https://daluawholesale.com.au/product/nano-siphon-water-change-kit/,https://daluawholesale.com.au/wp-content/uploads/2025/08/nano-syphon-parts.png,Dalua Nano Siphon Water Change Kit,https://nanotanksaustralia.com.au/products/dalua-nano-siphon-water-change-kit,,,
exact,1.000,CO2 Indicator Kit,11.43,12.57,8.79,9.67,https://daluawholesale.com.au/product/co2-indicator-kit/,https://daluawholesale.com.au/wp-content/uploads/2024/04/co2-indicator-kit.png,Dalua CO2 Indicator Kit,https://nanotanksaustralia.com.au/products/dalua-co2-indicator-kit,,,
exact,1.000,Glass Skimmer Lily Pipe Inlet Set 12/16mm,42.81,47.09,32.11,35.32,https://daluawholesale.com.au/product/glass-skimmer-lily-pipe-inlet-outlet-full-set-12-16mm/,https://daluawholesale.com.au/wp-content/uploads/2024/04/skimmer-glass-complete-1.png,Dalua Glass Skimmer Lily Pipe Inlet Set 12/16mm,https://nanotanksaustralia.com.au/products/dalua-glass-skimmer-lily-pipe-inlet-set-12-16mm,,,
exact,1.000,Glass Skimmer Lily Pipe Inlet Set 16/22mm,42.81,47.09,32.11,35.32,https://daluawholesale.com.au/product/glass-skimmer-lily-pipe-inlet-outlet-full-set-16-22mm/,https://daluawholesale.com.au/wp-content/uploads/2024/04/skimmer-glass-complete-1.png,Dalua Glass Skimmer Lily Pipe Inlet Set 16/22mm,https://nanotanksaustralia.com.au/products/dalua-glass-skimmer-lily-pipe-inlet-set-16-22mm,,,
exact,1.000,Glass Lily Pipe Inlet 16/22mm,28.16,30.98,21.12,23.23,https://daluawholesale.com.au/product/glass-lily-pipe-inlet-16-22mm/,https://daluawholesale.com.au/wp-content/uploads/2024/04/pipe-inlet-glass.png,Dalua Glass Lily Pipe Inlet 16/22mm,https://nanotanksaustralia.com.au/products/dalua-glass-lily-pipe-inlet-16-22mm,,,
exact,1.000,Glass Lily Pipe Inlet 12/16mm,28.16,30.98,21.12,23.23,https://daluawholesale.com.au/product/glass-lily-pipe-inlet-12-16mm/,https://daluawholesale.com.au/wp-content/uploads/2024/04/pipe-inlet-glass.png,Dalua Glass Lily Pipe Inlet 12/16mm,https://nanotanksaustralia.com.au/products/dalua-glass-lily-pipe-inlet-12-16mm,,,
exact,1.000,CO2 Regulator Two-Way Splitter,49.09,54.00,37.76,41.54,https://daluawholesale.com.au/product/co2-regulator-two-way-splitter/,https://daluawholesale.com.au/wp-content/uploads/2024/04/2-way-.png,Dalua CO2 Regulator Two-Way Splitter,https://nanotanksaustralia.com.au/products/dalua-co2-regulator-two-way-splitter,,,
exact,1.000,CO2 Indicator Solution Refill 15ml,3.61,3.97,2.78,3.06,https://daluawholesale.com.au/product/co2-indicator-solution-refill-15ml/,https://daluawholesale.com.au/wp-content/uploads/2024/04/co2-refill.png,Dalua CO2 Indicator Solution Refill 15ml,https://nanotanksaustralia.com.au/products/dalua-co2-indicator-solution-refill-15ml,,,
exact,1.000,Harmonic Bio Bricks 500g,10.10,11.11,7.77,8.55,https://daluawholesale.com.au/product/harmonic-bio-bricks-500g/,https://daluawholesale.com.au/wp-content/uploads/2024/04/BIO-BOX.png,Dalua Harmonic Bio Bricks 500g,https://nanotanksaustralia.com.au/products/dalua-harmonic-bio-bricks-500g,,,
exact,1.000,Elixr Carbon 1.2L Jar,12.99,14.29,9.99,10.99,https://daluawholesale.com.au/product/elixr-carbon-1-2l-jar/,https://daluawholesale.com.au/wp-content/uploads/2024/04/elixr-carbon.png,Dalua Elixr Carbon 1.2L Jar,https://nanotanksaustralia.com.au/products/dalua-elixr-carbon-1-2l-jar,,,
