classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note
probable,0.857,CO2 Bubble Counter,11.84,13.02,8.88,9.77,https://daluawholesale.com.au/product/co2-bubble-counter/,https://daluawholesale.com.au/wp-content/uploads/2026/05/Bubble-Counter.png,GLASS CO2 BUBBLE COUNTER,https://nanotanksaustralia.com.au/products/glass-co2-bubble-counter,,,manual review required
probable,0.889,Breeders Box 60g,30.78,33.86,23.12,25.43,https://daluawholesale.com.au/product/breeders-box/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Breeders_Box_.jpg,SAS Breeders Box 60g,https://nanotanksaustralia.com.au/products/sas-breeders-box-60g,,,manual review required
probable,0.895,Breeders Bits 30g,16.94,18.63,12.55,13.81,https://daluawholesale.com.au/product/breeders-bits/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Breeders_bits.jpg,SAS Breeders Bits 30g,https://nanotanksaustralia.com.au/products/sas-breeders-bits-30g,,,manual review required
probable,0.889,Breeders Aid 30g,16.94,18.63,12.55,13.81,https://daluawholesale.com.au/product/breeders-aid-30g/,https://daluawholesale.com.au/wp-content/uploads/2026/04/Breeders_Aids.jpg,SAS Breeders Aid 30g,https://nanotanksaustralia.com.au/products/sas-breeders-aid-30g,,,manual review required
probable,0.933,Dalua Fresh Shrimp Catcher (L),13.94,15.33,10.45,11.50,https://daluawholesale.com.au/product/dalua-fresh-shrimp-catcher-l/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-25_225617133.png,Dalua Fresh Shrimp Catcher (Large),https://nanotanksaustralia.com.au/products/dalua-fresh-shrimp-catcher-large,,,manual review required
probable,0.933,Dalua Fresh Shrimp Catcher (S),12.11,13.32,9.08,9.99,https://daluawholesale.com.au/product/shrimp-catcher-s/,https://daluawholesale.com.au/wp-content/uploads/2026/03/image_2026-03-25_225617133.png,Dalua Fresh Shrimp Catcher (Small),https://nanotanksaustralia.com.au/products/dalua-fresh-shrimp-catcher-small,,,manual review required
probable,0.824,Phat Traces Fertiliser 250ml,9.00,9.90,6.75,7.43,https://daluawholesale.com.au/product/phat-traces-fertiliser-250ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-traces-250ml.png,Phat Traces Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-traces-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.824,Phat Traces Fertiliser 500ml,12.07,13.28,9.05,9.96,https://daluawholesale.com.au/product/phat-traces-fertiliser-500ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-traces-500ml.png,Phat Traces Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-traces-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.824,Phat Traces Fertiliser 2.75L,54.49,59.94,40.87,44.96,https://daluawholesale.com.au/product/phat-traces-fertiliser-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-traces-2.75l.png,Phat Traces Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-traces-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.824,Phat Shrimp Fertiliser 2.75L,60.45,66.50,45.34,49.87,https://daluawholesale.com.au/product/phat-shrimp-fertiliser-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2025/04/shrimp-2.75l.png,Phat Shrimp Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-shrimp-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.824,Phat Shrimp Fertiliser 500ml,13.83,15.21,10.37,11.41,https://daluawholesale.com.au/product/phat-shrimp-fertiliser-500ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-shrimp500ml.png,Phat Shrimp Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-shrimp-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.824,Phat Shrimp Fertiliser 250ml,10.19,11.21,7.64,8.40,https://daluawholesale.com.au/product/phat-shrimp-fertiliser-250ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-shrimp-250ml.png,Phat Shrimp Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-shrimp-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.846,Phat Fundamental Fertiliser 250ml,9.04,9.94,6.78,7.46,https://daluawholesale.com.au/product/phat-fundamental-fertiliser-250ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-fundamental-250ml.png,Phat Fundamental Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-fundamental-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.846,Phat Fundamental Fertiliser 500ml,11.97,13.17,8.98,9.88,https://daluawholesale.com.au/product/phat-fundamental-fertiliser-500ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-fundamental-500ml.png,Phat Fundamental Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-fundamental-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.846,Phat Fundamental Fertiliser 2.75L,54.51,59.96,40.88,44.97,https://daluawholesale.com.au/product/phat-fundamental-fertiliser-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat_fundamental_2.75l.png,Phat Fundamental Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-fundamental-fertiliser-250ml-500ml-2-75l,,,manual review required
probable,0.851,WIO Jade Nano Rocks 2kg,16.35,17.99,12.26,13.49,https://daluawholesale.com.au/product/wio-jade-nano-rocks-2kg/,https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_9c4eec7332ac4729a0f6cbe4f1653abfmv2.webp,WIO Titan Nano Rocks 2kg,https://nanotanksaustralia.com.au/products/wio-titan-nano-rocks-2kg,,,manual review required
probable,0.985,High Pressue Tube PVC (CO2) 3metres,5.64,6.20,4.34,4.77,https://daluawholesale.com.au/product/high-pressue-tub-pvc-co2-3metres/,https://daluawholesale.com.au/wp-content/uploads/2024/05/pvc-tube-box.png,Dalua High Pressue Tube PVC (CO2) 3 metres,https://nanotanksaustralia.com.au/products/dalua-high-pressue-tube-pvc-co2-3-metres,,,manual review required
probable,0.821,Siphone + Water Change Kit (60cm Hose),25.61,28.17,19.70,21.67,https://daluawholesale.com.au/product/siphone-water-change-kit-large/,https://daluawholesale.com.au/wp-content/uploads/2024/03/water-change-thumbnail.png,Dalua Siphon + Water Change Kit (50cm Hose) Up to 100L,https://nanotanksaustralia.com.au/products/dalua-siphon-water-change-kit-50cm-hose,,,manual review required
probable,0.846,Siphone + Water Change Kit (50cm Hose),23.99,26.39,18.45,20.30,https://daluawholesale.com.au/product/siphone-water-change-kit-small/,https://daluawholesale.com.au/wp-content/uploads/2024/03/water-change-thumbnail.png,Dalua Siphon + Water Change Kit (50cm Hose) Up to 100L,https://nanotanksaustralia.com.au/products/dalua-siphon-water-change-kit-50cm-hose,,,manual review required
probable,0.935,Instant Hold Aquascaping Glue 50g,13.45,14.80,11.21,12.33,https://daluawholesale.com.au/product/jag-aquascaping-glue-50g/,https://daluawholesale.com.au/wp-content/uploads/2024/03/glue-100g.png,Dalua Instant Hold Aquascaping Glue,https://nanotanksaustralia.com.au/products/dalua-instant-hold-aquascaping-glue-100g,,,manual review required
probable,0.921,Instant Hold Aquascaping Glue 100g,18.66,20.53,15.55,17.11,https://daluawholesale.com.au/product/aquascaping-glue-100g/,https://daluawholesale.com.au/wp-content/uploads/2024/03/glue-100g.png,Dalua Instant Hold Aquascaping Glue,https://nanotanksaustralia.com.au/products/dalua-instant-hold-aquascaping-glue-100g,,,manual review required
