family,source_rows,proposed_product_title,options_json,status
bottom feeder by sas,2,Bottom Feeder By Sas,"[{""source_title"":""Bottom Feeder 25g by SAS"",""proposed_option"":""25g"",""cost_plus_gst"":""9.08"",""markdown_plus_gst"":""7.01"",""source_url"":""https://daluawholesale.com.au/product/bottom-feeder-25g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/300203547_527960822665890_5414167399628789488_n.jpg""},{""source_title"":""Bottom Feeder 50g by SAS"",""proposed_option"":""50g"",""cost_plus_gst"":""15.08"",""markdown_plus_gst"":""12.07"",""source_url"":""https://daluawholesale.com.au/product/shrimp-sticks-50g-by-sas-copy/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/300203547_527960822665890_5414167399628789488_n.jpg""}]",review_before_shopify_write
dragonwood per piece,2,Dragonwood Per Piece,"[{""source_title"":""Dragonwood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""9.33"",""markdown_plus_gst"":""7.47"",""source_url"":""https://daluawholesale.com.au/product/dragonwood-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design.png""},{""source_title"":""Dragonwood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""16.39"",""markdown_plus_gst"":""13.11"",""source_url"":""https://daluawholesale.com.au/product/dragonwood-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design.png""}]",review_before_shopify_write
drift wood,2,Drift Wood,"[{""source_title"":""Drift Wood Large"",""proposed_option"":""Large"",""cost_plus_gst"":""34.69"",""markdown_plus_gst"":""27.75"",""source_url"":""https://daluawholesale.com.au/product/drift-wood-large-2/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-6.png""},{""source_title"":""Drift Wood Medium"",""proposed_option"":""Medium"",""cost_plus_gst"":""13.71"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/drift-wood-large/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-7.png""}]",review_before_shopify_write
e marco cement bucket,2,E Marco Cement Bucket,"[{""source_title"":""E-Marco Cement 2.2kg Bucket (Purple)"",""proposed_option"":""2.2kg / Purple"",""cost_plus_gst"":""21.85"",""markdown_plus_gst"":""18.21"",""source_url"":""https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket-purple/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg""},{""source_title"":""E-Marco Cement 2.2kg Bucket (GREY)"",""proposed_option"":""2.2kg / GREY"",""cost_plus_gst"":""21.85"",""markdown_plus_gst"":""18.21"",""source_url"":""https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg""}]",review_before_shopify_write
gold forest wood per piece,3,Gold Forest Wood Per Piece,"[{""source_title"":""Gold Forest Wood Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""7.40"",""markdown_plus_gst"":""5.92"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png""},{""source_title"":""Gold Forest Wood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""14.26"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png""},{""source_title"":""Gold Forest Wood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""27.83"",""markdown_plus_gst"":""21.41"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png""}]",review_before_shopify_write
gold forest wood x per piece,2,Gold Forest Wood X Per Piece,"[{""source_title"":""Gold Forest Wood X-Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""4.74"",""markdown_plus_gst"":""3.80"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-x-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png""},{""source_title"":""Gold Forest Wood X-Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""56.68"",""markdown_plus_gst"":""43.60"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png""}]",review_before_shopify_write
haunted wood per piece,3,Haunted Wood Per Piece,"[{""source_title"":""Haunted Wood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""27.90"",""markdown_plus_gst"":""21.41"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png""},{""source_title"":""Haunted Wood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""14.26"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png""},{""source_title"":""Haunted Wood Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""7.40"",""markdown_plus_gst"":""5.92"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-x-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png""}]",review_before_shopify_write
haunted wood x per piece,2,Haunted Wood X Per Piece,"[{""source_title"":""Haunted Wood X-Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""56.68"",""markdown_plus_gst"":""43.60"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png""},{""source_title"":""Haunted Wood X-Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""4.74"",""markdown_plus_gst"":""3.80"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png""}]",review_before_shopify_write
nitrate fx,2,Nitrate Fx,"[{""source_title"":""NITRATE FX 500mL"",""proposed_option"":""500mL"",""cost_plus_gst"":""61.12"",""markdown_plus_gst"":""48.90"",""source_url"":""https://daluawholesale.com.au/product/nitrate-fx-500ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/1397.png""},{""source_title"":""NITRATE FX 250mL"",""proposed_option"":""250mL"",""cost_plus_gst"":""39.66"",""markdown_plus_gst"":""31.72"",""source_url"":""https://daluawholesale.com.au/product/nitrate-fx-250ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/Nitrate-Fx-Media-Advanced-Regenerable-Nitrate-Control-Blue-Life-USA-250-mL-99.jpg""}]",review_before_shopify_write
organic fx,2,Organic Fx,"[{""source_title"":""ORGANIC FX 250mL"",""proposed_option"":""250mL"",""cost_plus_gst"":""39.66"",""markdown_plus_gst"":""31.72"",""source_url"":""https://daluawholesale.com.au/product/organic-fx-250ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/Organic-Fx-Media-100-Organic-Regenerable-Resin-Blue-Life-USA-250-mL-99.jpg""},{""source_title"":""ORGANIC FX 500mL"",""proposed_option"":""500mL"",""cost_plus_gst"":""61.12"",""markdown_plus_gst"":""48.90"",""source_url"":""https://daluawholesale.com.au/product/organic-fx-500ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/1392.png""}]",review_before_shopify_write
