family,source_rows,proposed_product_title,priced_options_json,family_pricing_status
bottom feeder by sas,2,Bottom Feeder By Sas,"[{""source_title"":""Bottom Feeder 25g by SAS"",""proposed_option"":""25g"",""cost_plus_gst"":""9.08"",""markdown_plus_gst"":""7.01"",""source_url"":""https://daluawholesale.com.au/product/bottom-feeder-25g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/300203547_527960822665890_5414167399628789488_n.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Bottom Feeder 50g by SAS"",""proposed_option"":""50g"",""cost_plus_gst"":""15.08"",""markdown_plus_gst"":""12.07"",""source_url"":""https://daluawholesale.com.au/product/shrimp-sticks-50g-by-sas-copy/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/300203547_527960822665890_5414167399628789488_n.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
dragonwood per piece,3,Dragonwood Per Piece,"[{""source_title"":""Dragonwood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""9.33"",""markdown_plus_gst"":""7.47"",""source_url"":""https://daluawholesale.com.au/product/dragonwood-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Dragonwood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""16.39"",""markdown_plus_gst"":""13.11"",""source_url"":""https://daluawholesale.com.au/product/dragonwood-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Dragonwood X-Large per piece"",""proposed_option"":""X-Large"",""cost_plus_gst"":""34.23"",""markdown_plus_gst"":""26.33"",""source_url"":""https://daluawholesale.com.au/product/dragonwood-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
drift wood,3,Drift Wood,"[{""source_title"":""Drift Wood Large"",""proposed_option"":""Large"",""cost_plus_gst"":""34.69"",""markdown_plus_gst"":""27.75"",""source_url"":""https://daluawholesale.com.au/product/drift-wood-large-2/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-6.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Drift Wood X Large"",""proposed_option"":""X-Large"",""cost_plus_gst"":""76.38"",""markdown_plus_gst"":""61.11"",""source_url"":""https://daluawholesale.com.au/product/drift-wood-x-large/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-2.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Drift Wood Medium"",""proposed_option"":""Medium"",""cost_plus_gst"":""13.71"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/drift-wood-large/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-dragon-wood-7.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
gold forest wood per piece,5,Gold Forest Wood Per Piece,"[{""source_title"":""Gold Forest Wood X-Small per piece"",""proposed_option"":""X-Small"",""cost_plus_gst"":""4.74"",""markdown_plus_gst"":""3.80"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-x-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Gold Forest Wood Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""7.40"",""markdown_plus_gst"":""5.92"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Gold Forest Wood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""14.26"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Gold Forest Wood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""27.83"",""markdown_plus_gst"":""21.41"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Gold Forest Wood X-Large per piece"",""proposed_option"":""X-Large"",""cost_plus_gst"":""56.68"",""markdown_plus_gst"":""43.60"",""source_url"":""https://daluawholesale.com.au/product/gold-forest-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-52.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
haunted wood per piece,5,Haunted Wood Per Piece,"[{""source_title"":""Haunted Wood X-Large per piece"",""proposed_option"":""X-Large"",""cost_plus_gst"":""56.68"",""markdown_plus_gst"":""43.60"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Haunted Wood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""27.90"",""markdown_plus_gst"":""21.41"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Haunted Wood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""14.26"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Haunted Wood Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""7.40"",""markdown_plus_gst"":""5.92"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-x-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Haunted Wood X-Small per piece"",""proposed_option"":""X-Small"",""cost_plus_gst"":""4.74"",""markdown_plus_gst"":""3.80"",""source_url"":""https://daluawholesale.com.au/product/haunted-wood-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-31.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
nitrate fx,2,Nitrate Fx,"[{""source_title"":""NITRATE FX 500mL"",""proposed_option"":""500mL"",""cost_plus_gst"":""61.12"",""markdown_plus_gst"":""48.90"",""source_url"":""https://daluawholesale.com.au/product/nitrate-fx-500ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/1397.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""NITRATE FX 250mL"",""proposed_option"":""250mL"",""cost_plus_gst"":""39.66"",""markdown_plus_gst"":""31.72"",""source_url"":""https://daluawholesale.com.au/product/nitrate-fx-250ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/Nitrate-Fx-Media-Advanced-Regenerable-Nitrate-Control-Blue-Life-USA-250-mL-99.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
organic fx,2,Organic Fx,"[{""source_title"":""ORGANIC FX 250mL"",""proposed_option"":""250mL"",""cost_plus_gst"":""39.66"",""markdown_plus_gst"":""31.72"",""source_url"":""https://daluawholesale.com.au/product/organic-fx-250ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/Organic-Fx-Media-100-Organic-Regenerable-Resin-Blue-Life-USA-250-mL-99.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""ORGANIC FX 500mL"",""proposed_option"":""500mL"",""cost_plus_gst"":""61.12"",""markdown_plus_gst"":""48.90"",""source_url"":""https://daluawholesale.com.au/product/organic-fx-500ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/1392.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
quick release,2,Quick Release,"[{""source_title"":""Quick Release (16/22mm)"",""proposed_option"":""22mm / 16/22mm"",""cost_plus_gst"":""25.92"",""markdown_plus_gst"":""19.93"",""source_url"":""https://daluawholesale.com.au/product/quick-release-16-22mm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/03/quick-release-1.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Quick Release (12/16mm)"",""proposed_option"":""16mm / 12/16mm"",""cost_plus_gst"":""25.92"",""markdown_plus_gst"":""19.93"",""source_url"":""https://daluawholesale.com.au/product/quick-release-12-16mm/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/03/quick-release-1.png"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
shrimp aid by sas,3,Shrimp Aid By Sas,"[{""source_title"":""Shrimp Aid 50g by SAS"",""proposed_option"":""50g"",""cost_plus_gst"":""15.08"",""markdown_plus_gst"":""12.07"",""source_url"":""https://daluawholesale.com.au/product/shrimp-aid-50g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg"",""market_observations"":1,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[{""retailer"":""IW Aquariums"",""price"":24.95,""score"":0.743,""title"":""Sas Shrimp Aid 50g"",""url"":""https://iwaquariums.com.au/products/sas-shrimp-aid-50g""}]},{""source_title"":""Shrimp Aid 25g by SAS"",""proposed_option"":""25g"",""cost_plus_gst"":""9.08"",""markdown_plus_gst"":""7.01"",""source_url"":""https://daluawholesale.com.au/product/shrimp-aid-25g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg"",""market_observations"":1,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[{""retailer"":""IW Aquariums"",""price"":14.99,""score"":0.743,""title"":""Sas Shrimp Aid 25g"",""url"":""https://iwaquariums.com.au/products/sas-shrimp-aid-25g""}]},{""source_title"":""Shrimp Aid 15g by SAS"",""proposed_option"":""15g"",""cost_plus_gst"":""6.19"",""markdown_plus_gst"":""4.79"",""source_url"":""https://daluawholesale.com.au/product/shrimp-aid-15g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/309076784_1086703358484265_8585647156634237688_n.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
shrimpy bits by sas,3,Shrimpy Bits By Sas,"[{""source_title"":""Shrimpy Bits 50g by SAS"",""proposed_option"":""50g"",""cost_plus_gst"":""15.08"",""markdown_plus_gst"":""12.07"",""source_url"":""https://daluawholesale.com.au/product/shrimpy-bits-50g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Shrimpy Bits 25g by SAS"",""proposed_option"":""25g"",""cost_plus_gst"":""9.08"",""markdown_plus_gst"":""7.01"",""source_url"":""https://daluawholesale.com.au/product/shrimpy-bits-25g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]},{""source_title"":""Shrimpy Bits 15g by SAS"",""proposed_option"":""15g"",""cost_plus_gst"":""6.19"",""markdown_plus_gst"":""4.79"",""source_url"":""https://daluawholesale.com.au/product/shrimpy-bits15g-by-sas/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2022/11/299129320_2016423121885001_4972031726711310455_n.jpg"",""market_observations"":0,""market_median_aud"":"""",""recommended_retail_aud"":"""",""pricing_status"":""insufficient_market_data"",""market_sources"":[]}]",partial_or_unpriced
