classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.436,E-Marco Cement 2.2kg Bucket (Purple),19.86,21.85,16.55,18.21,https://daluawholesale.com.au/product/e-marco-cement-2-2kg-bucket-purple/,https://daluawholesale.com.au/wp-content/uploads/2021/06/cem_600x.jpg,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,e marco cement bucket,2
missing,0.545,WIO Scapeglue (Black),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-black/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.468,WIO Scapeglue (Grey),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-grey/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.474,WIO Scapeglue (Pale),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-pale/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.545,WIO Scapeglue (Yellow),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-yellow/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.486,WIO Scapeglue (Red),22.36,24.60,17.86,19.65,https://daluawholesale.com.au/product/wio-scapeglue-red/,https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio scapeglue,5
missing,0.535,WIO Black Eonian Artist Florabed 1.5kg,18.17,19.99,13.63,14.99,https://daluawholesale.com.au/product/wio-black-eonian-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist florabed,3
missing,0.590,WIO Black Eonian Artist ** Fine ** Florabed 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-black-eonian-artist-fine-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist fine florabed,2
missing,0.535,WIO Red Eonian Artist ** Fine ** Florabed 1.5kg,19.99,21.99,14.99,16.49,https://daluawholesale.com.au/product/wio-red-eonian-artist-fine-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist fine florabed,2
missing,0.483,WIO Red Eonian Artist Florabed 3kg,33.31,36.64,24.98,27.48,https://daluawholesale.com.au/product/wio-red-eonian-artist-florabed-3kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist florabed,3
missing,0.471,WIO Red Eonian Artist Florabed 1.5kg,18.17,19.99,13.63,14.99,https://daluawholesale.com.au/product/wio-eonian-artist-florabed-1-5kg/,https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp,,,,,,variant_group_review,multiple DALUA rows may belong as Shopify variants,wio eonian artist florabed,3
